id,code,valid
6f2f0139-eed8-4da8-ae78-9674e10b3f5e,RAGNAROK-001,valid
fc71ceef-7665-4981-a983-35d58819ced2,RAGNAROK-002,valid
df55c011-7324-4d55-b64a-5943fe0780b8,RAGNAROK-003,valid
5a1f7c0a-44c7-4b7b-91e2-6830168b0bf5,RAGNAROK-004,valid
3a2d83f1-a2a2-4082-a26d-2f0f98cf4ff8,RAGNAROK-005,valid
c56743ff-f60d-4fe1-9448-4ab1228e4ced,RAGNAROK-006,valid
7845f4d7-53f9-43e3-8653-cebd0a9902a8,RAGNAROK-007,valid
87866ff6-c6cc-48a2-9cf0-2f80c7a919d1,RAGNAROK-008,valid
85d99f8d-7d10-40fc-9f0b-2b6a69e25f97,RAGNAROK-009,valid
0ea01931-6730-4f71-98af-7815765b8a87,RAGNAROK-010,valid
